Department/Major,Catalog As Of,From,To,Transfer Course,Destination Course
"Business Administration, BS",2019-2020, Sacramento City College," California State University, Sacramento",ACCT​ 301,ACCY​ 1
"Business Administration, BS",2019-2020, Sacramento City College," California State University, Sacramento",ACCT​ 311,ACCY​ 2
"Business Administration, BS",2019-2020, Sacramento City College," California State University, Sacramento",ECON​ 302,ECON​ 1A
"Business Administration, BS",2019-2020, Sacramento City College," California State University, Sacramento",ECON​ 304,ECON​ 1B
"Business Administration, BS",2019-2020, Sacramento City College," California State University, Sacramento",MATH​ 342,MATH​ 24
"Business Administration, BS",2019-2020, Sacramento City College," California State University, Sacramento",BUS​ 340,MGMT​ 10
"Business Administration, BS",2019-2020, Sacramento City College," California State University, Sacramento",STAT​ 300,STAT​ 1 ### OR ### STAT​ 480
"Business Administration, BS",2019-2020, Sacramento City College," California State University, Sacramento",CISA​ 305,MIS​ 1
"Business Administration, BS",2019-2020, Sacramento City College," California State University, Sacramento",CISA​ 315,MIS​ 10 ### OR ### MIS​ 15
"Business Administration, BS",2019-2020, Sacramento City College," California State University, Sacramento",CISA​ 340,MIS​ 3
"Business Administration, BS",2019-2020, Sacramento City College," California State University, Sacramento",RE​ 300,FIN​ 19
